ID,LABEL,Lat,Lng
东站(环城南路),东站(环城南路),25.030291,102.73355
市博物馆,市博物馆,25.03326,102.728754
拓东路中段,拓东路中段,25.033655,102.723958
拓东路,拓东路,25.033546,102.718012
得胜桥(青年路),得胜桥(青年路),25.035074,102.716675
南太桥(青年路),南太桥(青年路),25.039062,102.716115
财盛巷口(人民中路),财盛巷口(人民中路),25.042279,102.714332
文庙(华山西路),文庙(华山西路),25.042995,102.707726
青云街,青云街,25.048685,102.707695
云南大学(青云街),云南大学(青云街),25.052132,102.704765
府甬道,府甬道,25.051298,102.700531
建设路,建设路,25.052177,102.696548
地台寺,地台寺,25.055201,102.694572
理工大学西门(建设路),理工大学西门(建设路),25.059948,102.692513
苏家塘,苏家塘,25.063216,102.692426
冶金学校,冶金学校,25.064128,102.688837
阳光果香小区(学府路),阳光果香小区(学府路),25.064266,102.684605
虹山新村,虹山新村,25.062865,102.681389
金鼎园,金鼎园,25.063859,102.675399
普吉路南口,普吉路南口,25.066668,102.673805
交通学校,交通学校,25.072592,102.674385
观音寺社区,观音寺社区,25.078602,102.673958
王家桥(普吉路),王家桥(普吉路),25.084232,102.671562
普吉路中段,普吉路中段,25.088733,102.671454
公交西部修理公司(河北路),公交西部修理公司(河北路),25.095114,102.669502
西北部公交枢纽站,西北部公交枢纽站,25.094563,102.664993
黄土坡,黄土坡,25.064167,102.67056
普吉路口(滇缅大道),普吉路口(滇缅大道),25.061892,102.673802
麻园(滇缅大道),麻园(滇缅大道),25.057539,102.677977
虹山南路口(滇缅大道),虹山南路口(滇缅大道),25.053381,102.684844
西站,西站,25.052543,102.688398
百汇商场,百汇商场,25.047552,102.697565
富春街口(人民中路),富春街口(人民中路),25.043524,102.701697
胜利广场,胜利广场,25.042839,102.706645
交三桥(人民东路),交三桥(人民东路),25.042381,102.717499
交三桥(北京路),交三桥(北京路),25.041428,102.719514
东风广场(北京路),东风广场(北京路),25.037057,102.719731
塘子巷(北京路),塘子巷(北京路),25.031341,102.720091
和平村(北京路),和平村(北京路),25.028598,102.720373
环城南路口(北京路),环城南路口(北京路),25.023108,102.720924
昆明站(永平路),昆明站(永平路),25.018668,102.723194
颐园小区(白云路),颐园小区(白云路),25.064663,102.72802
白云路口(北京路),白云路口(北京路),25.065113,102.723412
凤凰新村,凤凰新村,25.0602,102.721733
火车北站(北京路),火车北站(北京路),25.05357,102.719376
穿心鼓楼(北京路),穿心鼓楼(北京路),25.048134,102.719379
凤凰村,凤凰村,25.045643,102.719383
金马坊,金马坊,25.033444,102.713942
靖国路口,靖国路口,25.033134,102.704727
弥勒寺(西昌路),弥勒寺(西昌路),25.031228,102.700898
工人新村(西昌路),工人新村(西昌路),25.027865,102.704414
西岳庙(海埂路),西岳庙(海埂路),25.02194,102.708338
豆腐营(海埂路),豆腐营(海埂路),25.016771,102.708504
洒金巷口(海埂路),洒金巷口(海埂路),25.008858,102.708679
