source,target,Weight
100路(草海公交首末站--小菜园立交桥),101路(眠山车场--小菜园立交桥5),3
100路(草海公交首末站--小菜园立交桥),104路(大观楼(大观路)--巴士家园),1
100路(草海公交首末站--小菜园立交桥),113路(大漾田公交首末站--潘家湾(人民西路)),1
100路(草海公交首末站--小菜园立交桥),115路(西苑立交桥--蓝龙潭车场),1
100路(草海公交首末站--小菜园立交桥),124路(艺术剧院--大观楼车场),1
100路(草海公交首末站--小菜园立交桥),129路(逸雅路口(华晨路)--北市区车场),1
100路(草海公交首末站--小菜园立交桥),133路(金鼎园--家乐福),1
100路(草海公交首末站--小菜园立交桥),148路(东寺街--马街),1
100路(草海公交首末站--小菜园立交桥),203路(雨花公交枢纽站--眠山车场),1
100路(草海公交首末站--小菜园立交桥),235路(翠湖南路--云南野生动物园),1
100路(草海公交首末站--小菜园立交桥),244路(苏家塘--草海公交首末站),1
101路(眠山车场--小菜园立交桥5),104路(大观楼(大观路)--巴士家园),6
101路(眠山车场--小菜园立交桥5),116路(南屏街西口--眠山车场),2
101路(眠山车场--小菜园立交桥5),119路(正义路--蓝龙潭车场),1
101路(眠山车场--小菜园立交桥5),125路(正义路--篆塘),2
101路(眠山车场--小菜园立交桥5),129路(逸雅路口(华晨路)--北市区车场),2
101路(眠山车场--小菜园立交桥5),148路(东寺街--马街),6
101路(眠山车场--小菜园立交桥5),181路(商汇路--眠山车场),1
101路(眠山车场--小菜园立交桥5),189路(西北部公交枢纽站--家乐福),1
103路(螺蛳湾公交枢纽站--岔街),109路(阳光花园小区(阳光中路)--巫家坝车场),5
103路(螺蛳湾公交枢纽站--岔街),114路(东站(环城南路)--巴士家园),1
103路(螺蛳湾公交枢纽站--岔街),118路(南屏街东口--羊甫车场),4
103路(螺蛳湾公交枢纽站--岔街),149路(菊花村--螺蛳湾公交枢纽站(怡安路)),8
103路(螺蛳湾公交枢纽站--岔街),154路(螺蛳湾公交枢纽站--银苑小区(日新路)),4
103路(螺蛳湾公交枢纽站--岔街),171路(官渡广场(国贸路)--海埂大坝车场),1
104路(大观楼(大观路)--巴士家园),105路(菊花村--巴士家园),1
104路(大观楼(大观路)--巴士家园),106路(滇池卫城小区--黄土坡),1
104路(大观楼(大观路)--巴士家园),113路(大漾田公交首末站--潘家湾(人民西路)),1
104路(大观楼(大观路)--巴士家园),115路(西苑立交桥--蓝龙潭车场),2
104路(大观楼(大观路)--巴士家园),121路(云南冶炼厂--篆塘),2
104路(大观楼(大观路)--巴士家园),139路(百汇商场--泰龙阁小区车场),1
104路(大观楼(大观路)--巴士家园),146路(眠山车场--金殿(穿金路口)),1
104路(大观楼(大观路)--巴士家园),148路(东寺街--马街),3
104路(大观楼(大观路)--巴士家园),153路(云南冶炼厂--马街),2
104路(大观楼(大观路)--巴士家园),166路(前兴路公交枢纽站--春苑小区),1
104路(大观楼(大观路)--巴士家园),168路(黄土坡--北部公交枢纽站),2
104路(大观楼(大观路)--巴士家园),184路(大观楼(大观路)--巫家坝车场(雨龙路)),1
105路(菊花村--巴士家园),108路(昆船大道--南屏街东口),1
105路(菊花村--巴士家园),114路(东站(环城南路)--巴士家园),7
105路(菊花村--巴士家园),145路(金沙小区--后新街),1
105路(菊花村--巴士家园),149路(菊花村--螺蛳湾公交枢纽站(怡安路)),1
105路(菊花村--巴士家园),234路(南屏街东口--北市区车场),2
105路(菊花村--巴士家园),K6路(巫家坝车场--幸福邻里小区),1
106路(滇池卫城小区--黄土坡),110路(官渡广场(国贸路)--篆塘),3
106路(滇池卫城小区--黄土坡),113路(大漾田公交首末站--潘家湾(人民西路)),4
106路(滇池卫城小区--黄土坡),120路(正义路--前兴路公交枢纽站),4
106路(滇池卫城小区--黄土坡),121路(云南冶炼厂--篆塘),2
106路(滇池卫城小区--黄土坡),148路(东寺街--马街),1
106路(滇池卫城小区--黄土坡),165路(云南民族村--螺蛳湾二期车场),5
106路(滇池卫城小区--黄土坡),171路(官渡广场(国贸路)--海埂大坝车场),3
106路(滇池卫城小区--黄土坡),172路(海埂公园(滇池路)--前兴路公交枢纽站),1
106路(滇池卫城小区--黄土坡),233路(高新区车场--海埂公园(滇池路)),1
106路(滇池卫城小区--黄土坡),A1路(云南民族村--世博园),1
106路(滇池卫城小区--黄土坡),A4路(云南体育学院--云南民族村),2
106路(滇池卫城小区--黄土坡),K25路(海埂公园东门--眠山车场),1
108路(昆船大道--南屏街东口),117路(凉亭(金马路)--昆明站(永平路)),6
108路(昆船大道--南屏街东口),118路(南屏街东口--羊甫车场),1
108路(昆船大道--南屏街东口),144路(白水塘上村--昆船大道),2
108路(昆船大道--南屏街东口),155路(火电公司--经开区车场),3
108路(昆船大道--南屏街东口),182路(延安医院(人民东路)--北部公交枢纽站),1
108路(昆船大道--南屏街东口),188路(信息产业基地车场--东站(环城南路)),5
108路(昆船大道--南屏街东口),236路(金瓦路口(虹桥路)--北市区车场),1
108路(昆船大道--南屏街东口),247路(银海森林小区(日新路)--金色交响家园小区),1
108路(昆船大道--南屏街东口),941路(皇冠假日酒店--潘家湾(西昌路)),1
109路(阳光花园小区(阳光中路)--巫家坝车场),110路(官渡广场(国贸路)--篆塘),2
109路(阳光花园小区(阳光中路)--巫家坝车场),112路(威远街口(护国路)--湖畔之梦小区),3
109路(阳光花园小区(阳光中路)--巫家坝车场),118路(南屏街东口--羊甫车场),4
109路(阳光花园小区(阳光中路)--巫家坝车场),120路(正义路--前兴路公交枢纽站),2
109路(阳光花园小区(阳光中路)--巫家坝车场),122路(前兴路公交枢纽站--东站(环城南路)),4
109路(阳光花园小区(阳光中路)--巫家坝车场),137路(东寺街南口--湖畔之梦小区),1
109路(阳光花园小区(阳光中路)--巫家坝车场),140路(昆明站(永平路)--羊甫车场),2
109路(阳光花园小区(阳光中路)--巫家坝车场),149路(菊花村--螺蛳湾公交枢纽站(怡安路)),1
109路(阳光花园小区(阳光中路)--巫家坝车场),162路(吴井桥(环城南路)--螺蛳湾公交枢纽站(怡安路)),2
109路(阳光花园小区(阳光中路)--巫家坝车场),166路(前兴路公交枢纽站--春苑小区),2
109路(阳光花园小区(阳光中路)--巫家坝车场),232路(官渡区政府--巫家坝车场),1
109路(阳光花园小区(阳光中路)--巫家坝车场),C85路(昆明站--大渔公园),1
10路(南屏街西口--金殿车场),17路(湖西小区站--小西门),1
10路(南屏街西口--金殿车场),22路(大观楼(大观路)--东部公交枢纽站),1
10路(南屏街西口--金殿车场),26路(黄土坡--巫家坝车场),3
10路(南屏街西口--金殿车场),29路(东部公交枢纽站--黄土坡),1
10路(南屏街西口--金殿车场),47路(昆明站(永平路)--金殿(穿金路口)),2
10路(南屏街西口--金殿车场),50路(威远街口(护国路)--金殿车场),8
10路(南屏街西口--金殿车场),55路(西南林业大学(南院路)--高新区车场),8
10路(南屏街西口--金殿车场),71路(南屏街东口--金殿车场),1
10路(南屏街西口--金殿车场),82路(马街--南屏街西口),1
110路(官渡广场(国贸路)--篆塘),112路(威远街口(护国路)--湖畔之梦小区),1
110路(官渡广场(国贸路)--篆塘),118路(南屏街东口--羊甫车场),2
110路(官渡广场(国贸路)--篆塘),121路(云南冶炼厂--篆塘),1
110路(官渡广场(国贸路)--篆塘),122路(前兴路公交枢纽站--东站(环城南路)),4
110路(官渡广场(国贸路)--篆塘),127路(海源寺车场--商汇路),4
110路(官渡广场(国贸路)--篆塘),140路(昆明站(永平路)--羊甫车场),2
110路(官渡广场(国贸路)--篆塘),148路(东寺街--马街),2
110路(官渡广场(国贸路)--篆塘),262路(商汇路--大观楼车场),2
112路(威远街口(护国路)--湖畔之梦小区),118路(南屏街东口--羊甫车场),2
112路(威远街口(护国路)--湖畔之梦小区),120路(正义路--前兴路公交枢纽站),2
112路(威远街口(护国路)--湖畔之梦小区),127路(海源寺车场--商汇路),2
112路(威远街口(护国路)--湖畔之梦小区),129路(逸雅路口(华晨路)--北市区车场),1
112路(威远街口(护国路)--湖畔之梦小区),137路(东寺街南口--湖畔之梦小区),2
112路(威远街口(护国路)--湖畔之梦小区),152路(市总工会--湖畔之梦小区),2
112路(威远街口(护国路)--湖畔之梦小区),160路(潘家湾(西昌路)--湖畔之梦小区),3
112路(威远街口(护国路)--湖畔之梦小区),184路(大观楼(大观路)--巫家坝车场(雨龙路)),1
113路(大漾田公交首末站--潘家湾(人民西路)),115路(西苑立交桥--蓝龙潭车场),1
113路(大漾田公交首末站--潘家湾(人民西路)),116路(南屏街西口--眠山车场),2
113路(大漾田公交首末站--潘家湾(人民西路)),127路(海源寺车场--商汇路),9
113路(大漾田公交首末站--潘家湾(人民西路)),153路(云南冶炼厂--马街),2
113路(大漾田公交首末站--潘家湾(人民西路)),231路(百汇商场--眠山车场),2
113路(大漾田公交首末站--潘家湾(人民西路)),239路(普惠园(玉峰路)--黄土坡车场),2
113路(大漾田公交首末站--潘家湾(人民西路)),266路(大漾田公交首末站--黄土坡),2
113路(大漾田公交首末站--潘家湾(人民西路)),C63路(龙院村--潘家湾(西昌路)),1
114路(东站(环城南路)--巴士家园),115路(西苑立交桥--蓝龙潭车场),1
114路(东站(环城南路)--巴士家园),117路(凉亭(金马路)--昆明站(永平路)),1
114路(东站(环城南路)--巴士家园),122路(前兴路公交枢纽站--东站(环城南路)),1
