source,target,Weight
1号学生食堂,云艺公共教学楼,1
6号路,凤庆路口(双羊街),1
6号路,天文台(金马路),2
6号路,金马路中段,1
920医院,东陆桥(西园路),1
920医院,丹霞路口(西园路),3
920医院,昆五中,1
一二一大街,小菜园立交桥,4
一二一大街,师范大学,1
一二一大街,民院路,2
一二一大街(莲花池),圆通北路,1
一二一大街(莲花池),民院路,1
一二一大街(莲花池),莲花池,1
丁字坡,云南大学(翠湖北路),1
丁字坡,园西路口(北门街),2
七公里,滇池度假区管委会,1
七公里,眠山车场,1
七公里,马街,1
七公里(招呼站),西北部公交枢纽站,1
七公里(春雨路),春雨路口(宝花路),1
七公里(春雨路),眠山车场,3
七公里(春雨路),马街上村,1
七公里(昭宗路),昆药集团,1
七公里(滇池路),滇池度假区管委会(滇池路),5
七公里(滇池路),红塔东路口(滇池路),4
七彩云南,水海子,1
七星路口(渔浦路),王家庄(环湖东路),1
七步场,呈贡三岔口,1
七步场,回回营(春融西路),2
七甸乡政府(福昆线),大哨村,1
七甸工业园区(阳春大道),头甸村,1
万华路,万华路口(白云路),1
万华路,志强路口(白云路),1
万华路,长青路口(金江路),1
万华路口(白云路),志强路口(白云路),4
万华路口(白云路),盘江东路口(白云路),4
万宏路,王旗营(万宏路),1
万峰街东口,市委党校(学苑路),1
万德新村,双凤路北口,2
万源路,金星立交桥西口(颐华路),2
万溪冲村,万溪冲公交首末站,1
万溪冲村南,博大路口(兴园路),1
万溪村公交首末站,万溪冲村南,1
万科公园里小区,商城大道路口(云福路),1
万翔街西口,乾海子(新320国道),1
万达商业广场,朝云街口(谊康北路),1
万达大道,兴体路北段,1
万青路,景明南路,2
万青路,月华街,2
万青路,致远路口(万青路),1
万青路口(云南白药街),致远路口(兴园路),1
万青路口(景明南路),云岭路口(月华街),1
万青路口(景明南路),彩云南路口(景明南路),2
万青路口(景明南路),景明南路,1
万青路口(致远路),前卫营村(致远路),1
三公里,关上(彩云北路),1
三公里,织布营,1
三公里,菊华立交桥东口,1
三公里,黑土凹(金马路),2
三农场,青龙村,1
三农场(金瓦路),青龙村(照青路),1
三合营社区,弥勒寺,1
三家村(昌宏西路),王家村(昌宏西路),2
三家村(阳春大道),广南村(阳春大道),1
三家村东(昌宏西路),三家村(昌宏西路),2
三岔口,团结镇和平村,1
三岔口村(兴呈路),上可乐村,1
三岔口村(兴呈路),呈贡三岔口,3
三岔口村(驼峰街),回回营(春融西路),1
三瓦村,神农饲料厂,1
三铝路口(谊康北路),回回营(春融西路),1
三铝路口(谊康北路),彩云南路口(三铝公路),5
上五甲,永胜村委会,1
上五甲村(巫家坝路),上五甲,1
上五甲村(巫家坝路),永胜村(巫家坝路),1
上五甲村(巫家坝路),海边沟,1
上可乐村,呈贡体训基地东,1
上可乐村(三太线),三岔口村(兴呈路),1
上可乐村口(驼峰街),三岔口村(兴呈路),2
上可乐村口(驼峰街),三岔口村(驼峰街),1
上可乐村口(驼峰街),回回营(春融西路),2
上可乐村口(驼峰街),滇池星城小区,1
上坝村口,中坝村口,1
上庄,半山七哩溪小区,1
上庄,小麦溪,2
上庄,红锦路口(红云路),1
上村路口(春雨路),七公里(春雨路),2
上村路口(春雨路),华苑路口(昆州路),1
上游水岸小区,跃龙桥,1
上锦路,眠山车场,2
上马村,下马村(龙泉路),2
上马村,马村立交桥,5
下华哨,防腐厂,1
下可乐村口,下可乐村,1
下可乐村口(兴呈路),呈贡三岔口,3
下可乐村口(兴呈路),石碑村(兴呈路),4
下可乐村口(呈祥街),呈祥街,2
下庄村(月华街),云艺3号门,1
下庄村(月华街),月华街,1
下庄村(月华街),雨花公交枢纽站,1
下窑,德缘小区(兴苑路),1
下窑,益宁路口,1
下窑,益宁路口(兴苑路),3
下窑,西部客运站(昆州路),1
下马新村,下马村(教场北路),1
下马新村,教场北路,1
下马村(教场北路),上马村,2
下马村(教场北路),教场北路,4
下马村(龙泉路),上马村,3
下马村(龙泉路),下马村(教场北路),3
下马村(龙泉路),小菜园,2
世博园,世博花园酒店,5
世博园,东三环路口(白龙路),1
世博园,北市区车场,1
世博园,石闸立交桥(二环东路),1
世博园,织布营,1
世博园,铂金大道路口(穿金路),1
世博园,霖雨桥东,1
世博花园酒店,世博园,2
世博花园酒店,铂金大道,2
世博花园酒店,铂金大道路口(穿金路),3
世纪半岛小区(河宏路),陆家路口(河宏路),1
世纪城(如意环路),咏春苑,1
