出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
东站(环城南路),市博物馆,102.73355,25.030291,102.728754,25.03326
市博物馆,拓东路中段,102.728754,25.03326,102.723958,25.033655
拓东路中段,拓东路,102.723958,25.033655,102.718012,25.033546
拓东路,得胜桥(青年路),102.718012,25.033546,102.716675,25.035074
得胜桥(青年路),南太桥(青年路),102.716675,25.035074,102.716115,25.039062
南太桥(青年路),财盛巷口(人民中路),102.716115,25.039062,102.714332,25.042279
财盛巷口(人民中路),文庙(华山西路),102.714332,25.042279,102.707726,25.042995
文庙(华山西路),青云街,102.707726,25.042995,102.707695,25.048685
青云街,云南大学(青云街),102.707695,25.048685,102.704765,25.052132
云南大学(青云街),府甬道,102.704765,25.052132,102.700531,25.051298
府甬道,建设路,102.700531,25.051298,102.696548,25.052177
建设路,地台寺,102.696548,25.052177,102.694572,25.055201
地台寺,理工大学西门(建设路),102.694572,25.055201,102.692513,25.059948
理工大学西门(建设路),苏家塘,102.692513,25.059948,102.692426,25.063216
苏家塘,冶金学校,102.692426,25.063216,102.688837,25.064128
冶金学校,阳光果香小区(学府路),102.688837,25.064128,102.684605,25.064266
阳光果香小区(学府路),虹山新村,102.684605,25.064266,102.681389,25.062865
虹山新村,金鼎园,102.681389,25.062865,102.675399,25.063859
金鼎园,普吉路南口,102.675399,25.063859,102.673805,25.066668
普吉路南口,交通学校,102.673805,25.066668,102.674385,25.072592
交通学校,观音寺社区,102.674385,25.072592,102.673958,25.078602
观音寺社区,王家桥(普吉路),102.673958,25.078602,102.671562,25.084232
王家桥(普吉路),普吉路中段,102.671562,25.084232,102.671454,25.088733
普吉路中段,公交西部修理公司(河北路),102.671454,25.088733,102.669502,25.095114
公交西部修理公司(河北路),西北部公交枢纽站,102.669502,25.095114,102.664993,25.094563
黄土坡,普吉路口(滇缅大道),102.67056,25.064167,102.673802,25.061892
普吉路口(滇缅大道),麻园(滇缅大道),102.673802,25.061892,102.677977,25.057539
麻园(滇缅大道),虹山南路口(滇缅大道),102.677977,25.057539,102.684844,25.053381
虹山南路口(滇缅大道),西站,102.684844,25.053381,102.688398,25.052543
西站,建设路,102.688398,25.052543,102.696927,25.051419
建设路,百汇商场,102.696927,25.051419,102.697565,25.047552
百汇商场,富春街口(人民中路),102.697565,25.047552,102.701697,25.043524
富春街口(人民中路),胜利广场,102.701697,25.043524,102.706645,25.042839
胜利广场,财盛巷口(人民中路),102.706645,25.042839,102.711944,25.042027
财盛巷口(人民中路),交三桥(人民东路),102.711944,25.042027,102.717499,25.042381
交三桥(人民东路),交三桥(北京路),102.717499,25.042381,102.719514,25.041428
交三桥(北京路),东风广场(北京路),102.719514,25.041428,102.719731,25.037057
东风广场(北京路),塘子巷(北京路),102.719731,25.037057,102.720091,25.031341
塘子巷(北京路),和平村(北京路),102.720091,25.031341,102.720373,25.028598
和平村(北京路),环城南路口(北京路),102.720373,25.028598,102.720924,25.023108
环城南路口(北京路),昆明站(永平路),102.720924,25.023108,102.723194,25.018668
颐园小区(白云路),白云路口(北京路),102.72802,25.064663,102.723412,25.065113
白云路口(北京路),凤凰新村,102.723412,25.065113,102.721733,25.0602
凤凰新村,火车北站(北京路),102.721733,25.0602,102.719376,25.05357
火车北站(北京路),穿心鼓楼(北京路),102.719376,25.05357,102.719379,25.048134
穿心鼓楼(北京路),凤凰村,102.719379,25.048134,102.719383,25.045643
凤凰村,交三桥(人民东路),102.719383,25.045643,102.71814,25.042526
交三桥(人民东路),南太桥(青年路),102.71814,25.042526,102.716064,25.039007
南太桥(青年路),得胜桥(青年路),102.716064,25.039007,102.716629,25.034891
得胜桥(青年路),金马坊,102.716629,25.034891,102.713942,25.033444
金马坊,靖国路口,102.713942,25.033444,102.704727,25.033134
靖国路口,弥勒寺(西昌路),102.704727,25.033134,102.700898,25.031228
弥勒寺(西昌路),工人新村(西昌路),102.700898,25.031228,102.704414,25.027865
工人新村(西昌路),西岳庙(海埂路),102.704414,25.027865,102.708338,25.02194
西岳庙(海埂路),豆腐营(海埂路),102.708338,25.02194,102.708504,25.016771
豆腐营(海埂路),洒金巷口(海埂路),102.708504,25.016771,102.708679,25.008858
洒金巷口(海埂路),绿荫大道路口,102.708679,25.008858,102.70944,25.004171
绿荫大道路口,日新路口(润城第二大道),102.70944,25.004171,102.70872,24.999236
日新路口(润城第二大道),前卫营(前兴路),102.70872,24.999236,102.707268,24.992973
前卫营(前兴路),前兴路公交枢纽站,102.707268,24.992973,102.705467,24.987856
小菜园立交桥,鼓楼路,102.709518,25.059862,102.71125,25.055264
鼓楼路,圆通山,102.71125,25.055264,102.714844,25.052126
圆通山,青年路,102.714844,25.052126,102.715118,25.045984
青年路,南太桥(青年路),102.715118,25.045984,102.716057,25.039066
弥勒寺(西昌路),工人新村(安康路),102.700773,25.031345,102.700523,25.028246
工人新村(安康路),安康路,102.700523,25.028246,102.69735,25.028143
安康路,刘家营(安康路),102.69735,25.028143,102.693573,25.028055
刘家营(安康路),安康路口,102.693573,25.028055,102.689705,25.027182
安康路口,东陆桥(西园路),102.689705,25.027182,102.684245,25.029553
东陆桥(西园路),昆五中,102.684245,25.029553,102.68043,25.031536
昆五中,大观楼车场,102.68043,25.031536,102.675933,25.027496
茭菱路口(环城西路),潘家湾(人民西路),102.689115,25.048351,102.691376,25.044067
潘家湾(人民西路),小西门(人民西路),102.691376,25.044067,102.696063,25.043707
小西门(人民西路),小西门(东风西路),102.696063,25.043707,102.700438,25.041606
小西门(东风西路),艺术剧院,102.700438,25.041606,102.703915,25.03829
艺术剧院,南太桥(东风东路),102.703915,25.03829,102.71803,25.03803
南太桥(东风东路),尚义巷口(东风东路),102.71803,25.03803,102.723685,25.038147
尚义巷口(东风东路),拓东体育馆(东风东路),102.723685,25.038147,102.731128,25.038255
拓东体育馆(东风东路),东站(环城东路),102.731128,25.038255,102.734398,25.03323
东站(环城东路),民航路,102.734398,25.03323,102.734299,25.026535
民航路,吴井路口(民航路),102.734299,25.026535,102.73642,25.023506
吴井路口(民航路),五里多村,102.73642,25.023506,102.738655,25.020069
五里多村,关兴路口(民航路),102.738655,25.020069,102.742043,25.015409
关兴路口(民航路),官渡广场(民航路),102.742043,25.015409,102.744377,25.011953
官渡广场(民航路),关上(民航路),102.744377,25.011953,102.746437,25.008963
